Site ID,Account Number,Hotel Name,Address,Oracle(rooms),Agoda(rooms),Expedia(rooms),Trip(rooms)
55284,55284-17063-01-WDF,Wyndham Grand Bangsar Kuala Lumpur,"No. 1 Jalan Pantai Jaya Kuala Lumpur, 59200 Malaysia",513,513,513,513
55380,55380-17280-01-WDF,Wyndham Garden Cam Ranh Resort,"Lot D14b Nguyen Tat Thanh, Cam Hai Dong Commune Cam Lam District Cam Ranh, Kh 650000 Viet Nam",241,165,-,166
55444,55444-17489-03-WDF,Wyndham Garden Bangkok Sukhumvit 42,"Sukhumvit 42 Bangkok, 10110 Thailand",185,105,105,106
55498,55498-18124-02-WDF,Wyndham Bangkok Queen Convention Centre,"Rama 4 Bangkok, 10110 Thailand",150,106,106,106
56310,56310-19458-01-WDF,Wyndham Hoi An Royal Beachfront Resort & Villas,"Lac Long Quan, Dien Duong Dien Ban, Quang Nam Hoi An, 51300 Viet Nam",435,500,-,435
56650,56650-20260-01-WDF,Wyndham Garden Sonasea Van Don,"Sonasea Van Don Harbor City Resort and Tourism Complex Ha Long Commune Quang Ninh, Viet Nam",202,202,202,202
56841,56841-24580-03-WDF,Wyndham Garden Sapporo Odori,"FP Sapporo GK Nishi 7-chome 7-1 Sapporo, 060 0062 Japan",132,132,132,132
57106,57106-21355-01-WDF,Wyndham Jomtien Pattaya,"555, 555/1Moo 1, Jomtien, Sattahip, Chonburi, Thailand Pattaya, Pa 20250 Thailand",630,630,-,630
57140,57140-21800-03-WDF,Wyndham Garden Hoi An Cua Dai,"19 Lac Long Quan, Khoi Thinh My, Phuong Hoi An Tay, Thanh pho Da Nang Da Nang, Da 51000 Viet Nam",107,107,107,146
57464,57464-22192-01-WDF,Wyndham Grand Vedana Ninh Binh,"Cuc Phuong, Nhon Quan District, Ninh Binh, Vietnam Ninh Binh, na Viet Nam",315,209,-,209
57559,57559-80970-01-WDF,Wyndham Hua Hin Pranburi Resort & Villas,"9 Moo 5 Pak Nam Pran Road Pak Nam Pran Hua Hin, 77220 Thailand",194,161,126,64
57683,57683-14804-01-WDF,Wyndham Danang Golden Bay,"Lo 01/A1-2, Khu phuc hop do thi, thuong mai, dich vu phuong Nai Hien Dong, Quan Son Tra Danang, Viet Nam",949,949,949,949
57720,57720-22822-01-WDF,Wyndham Suites KLCC,"8 Jalan Changkat Kia Peng, Kuala Lumpur Kuala Lumpur, Ku 50450 Malaysia",400,108,135,188
57790,57790-22938-01-WDF,Wyndham Garden Grandworld Phu Quoc,"Corona Resort and Casino Complex, Bai Dai Tourism Area, Ganh Dau Quarter Phu Quoc Special Zone, An 920000 Viet Nam",921,921,892,921
57917,57917-23248-01-WDF,Wyndham Garden Wailoaloa Beach Fiji,"Nadi Bay, Wailoaloa Road Nadi, Vi Fiji",90,90,90,90
57974,57974-23425-01-WDF,Wyndham Singapore Hotel,"3-5 Coleman Street Singapore, Si 179098 Singapore",591,591,591,591
57994,57994-23476-01-WDF,Wyndham Grand Phu Quoc,"Bai Dai Area, Ganh Dau Commune Phu Quoc, Viet Nam",1399,1399,1378,1399
58094,58094-23656-01-WDF,Wyndham Phuket Airport,"131 Moo 1, Sakhu, Talang Phuket, na Thailand",300,513,-,300
58150,58150-22235-01-WDF,Wyndham Garden Yogyakarta,"Jl. Yogyakarta - Magelang, km 14, Sleman, DI Yogyakarta Jl. Yogyakarta - Magelang km 14, Sleman Yogyakarta, Yo 55515 Indonesia",89,89,-,30
58435,58435-24266-01-WDF,Wyndham Garden Suites Ipoh ICC,"Jalan Sultan Abdul Jalil, Greentown Ipoh, Pe 30450 Malaysia",257,62,-,62
58590,58590-24514-01-WDF,Wyndham Garden Suites Genting Highlands,"Jalan Permai, Genting Permai Avenue Genting Highlands,, Pa 69000 Malaysia",120,70,70,70
58664,58664-24605-01-WDF,Wyndham Panbil Batam,"Panbill Estate. Jl Ahmad Yani, Muka Kuning. Batam Batam, Ke 29433 Indonesia",232,232,232,232
58878,58878-24883-01-WDF,Wyndham Garden Legend Halong,"Lot C4 Luxury villa, Group 1, Area 1, Ha Long Road Bai Chay ward Halong, Qu 00000 Viet Nam",163,162,162,160
58879,58879-24887-01-WDF,Wyndham Garden Samui Wing,"124/1 Village Moo. 1, Bophut Sub-district Koh Samui district Koh Samui, Su 84320 Thailand",109,109,109,109
58914,58914-07810-01-WDF,Wyndham Garden Shahzan Fraser's Hill,"Jalan Lady Guillemard Frasers Hill, Pa 49000 Malaysia",99,94,92,99
59371,59371-14855-01-WDF,Wyndham Garden Phuket Kamala,"M003 Kamala Kathu Phuket, 83150 Thailand",431,388,385,388
59498,59498-25823-01-WDF,Wyndham Grand Phnom Penh Capital,"103 Preah Monivong Boulevard (93), Sangkat Sras Chork, Khan Daun Penh, Phnom Penh, na Cambodia",830,828,828,828
59567,59567-25920-01-WDF,Wyndham Garden i-City Shah Alam,"Level 31, Mercu Maybank i-City Finance Avenue, Shah Alam, Se 400000 Malaysia",214,214,214,214
59931,59931-26610-02-WDF,Wyndham Garden Manila Bay,"9 T Alonzo, Paranaque, Kalakhang Maynila, Metro Manila, Pa PHILIPPINES",300,300,-,300
60326,60326-26954-01-WDF,"Ovolo Sydney Woolloomooloo, a Wyndham Hotel","6 Cowper Wharf Roadway Woolloomooloo, NS 2011 Australia",100,100,100,100
60328,60328-26956-01-WDF,"Ovolo Brisbane Fortitude Valley, a Wyndham Hotel","33-1000 Ann St, Fortitude Valley Fortitude Valley, QLD 4006 Australia",103,103,103,130
60329,60329-26957-01-WDF,"Ovolo Canberra, a Wyndham Hotel","NewActon Precinct, 25 Edinburgh Ave. Canberra, QLD 2601 Australia",85,68,85,85
60331,60331-26959-01-WDF,"Ovolo Melbourne South Yarra, a Wyndham Hotel","234 Toorak Rd, South Yarra South Yarra, VI 3141 Australia",123,123,123,123
60491,60491-27474-02-WDF,Wyndham Grand i-City,"Block G, No.3, Periaran Multimedia, i-City Finance Avenue, i-City Shah Alam, NA 40000 Malaysia",512,134,-,134
51254,51254-09826-01-WDM,Wyndham Grand KN Paradise Cam Ranh,"Bai Dai Cam Nghia Ward Cam Ranh City, Kh Viet Nam",327,327,327,246
51683,51683-10400-01-WDM,Wyndham Garden Hanoi,"HH01 to Huu Street Ha Dong Ward Ha Noi, 100000 Viet Nam",112,112,112,112
52543,52543-26284-03-WDM,Wyndham Grand Nai Harn Beach Phuket,"15/328 Moo 1, Soi Naya, Rawai Muang Phuket, 83130 Thailand",353,353,353,353
56110,56110-26767-02-WDM,Wyndham Goseong Gangwon,"256-3, Bongpo-Ri, Tosung-myeon Gosung-Gun Gangwon Province, 219-832 KOREA, REPUBLIC OF",529,529,-,529
50372,50372-80231-01-WTW,TRYP by Wyndham Mall of Asia Manila,"Seaside Blvd. Mall of Asia Complex Pasay City, PHILIPPINES",191,191,191,191
51677,51677-10393-03-WTW,TRYP by Wyndham Southport Gold Coast,"Corner of Gillian Lane and Meron Street Southport, QL 4215 Australia",225,225,225,74
52530,52530-98877-03-WTW,TRYP by Wyndham Pulteney Street Adelaide,"266 Pulteney Street Adelaide, SA 5000 Australia",120,120,-,120
55779,55779-18201-01-WTW,"TRYP by Wyndham Wellington, Tory Street","15 Tory Street Wellington, 6011 New Zealand",77,77,77,75
59887,59887-26341-01-WTW,TRYP by Wyndham Vientiane Central,"Khouving Rd. Vatnark village, Seesattanark district Vientiane Capital Vientiane, Sisattanark 01030 LAO PEOPLE'S DEMOCRATIC REPUBLIC",99,136,-,90
